id,uuid,slug,profile_id,title,category_id,collaborators,description,summary,salary_min,salary_max,salarytype_id,company_id,city_id,degree_id,jobtype_id,experience_id,release_date,suspend_date,requirements/0,requirements/1,requirements/2,requirements/3,requirements/4,requirements/5,requirements/6,requirements/7,requirements/8,state,type,active,verified,created_at,updated_at,expectations,benefits,verified_mail,created_by,owner,attachments,scorecard_id,domain_company,apply_url,email_notif,email_notif_list,company/id,company/name,company/logo,company/address,company/uuid,company/slug,job_type/id,job_type/name,location/id,location/name,location/country,premium,premium_level,tags/0,tags/1,tags/2,tags/3,weight,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9
224796,59239852-7e09-47b9-870a-057753011983,developpeur-web--at--kap-it-tunisia-224796,3088,Développeur web,10,,"KAP IT révolutionne la collaboration en entreprise grâce à iObeya, solution unique de virtualisation de salles de réunion, dédiée à la pratique du management visuel (réunion post-it). Depuis plus de dix ans, nous mettons l’accent sur le visuel, à travers nos supports de communication et l’expérience utilisateur de notre produit.

Pour accompagner notre croissance, nous recherchons aujourd’hui un Développeur web prêt(e) à s’investir dans l’aventure iObeya.

Si tu souhaites mettre ton expérience polyvalente à profit dans un poste à responsabilité, alliant le développement de notre marque avec la conception et la réalisation de ses supports de communication, alors cette offre est faite pour toi !

Profil souhaité :

Doté(e) d’une formation d'ingénieur en Informatique Bac+5 ;
Expérience de 1 à 5 ans ;
Javascript/HTML : Lu, écrit et parlé ;
La connaissance d'un framework MVC (AngularJS idéalement) est fortement appréciée ;
La connaissance d’une technologie backend, idéalement Java, est un plus ;
Bonne connaissance des design patterns ;
Vous accordez une grande importance sur la qualité de votre code et de vos livrables ;
Vous aimez travailler en équipe, dans un contexte agile et challenging;
Passionné(e) par l’édition logiciel avec fort intérêt pour le Web, les nouvelles technologies et les IHM ;


Principales Missions/Responsabilités : 

Intervenir techniquement dans la réalisation de nouvelles fonctionnalités sur la plateforme iObeya : intégration, développement, modélisation, architecture, tests, etc…
Assurer la qualité des réalisations en respectant les normes de développement, le processus de travail en équipe et de tests ;
Effectuer de la maintenance corrective et évolutive sur la plateforme iObeya ;
Participer à des projets R&D en relation avec l’intégration de iObeya ;
Veille technologique et être une force de proposition ;
Participer à l’amélioration continue de la “fabrique logiciel Kap IT” ;
Rédiger des documentations ;


Tu travailleras en coordination avec l’équipe de développement Tunisienne et Française.

Enfin si tu souhaites améliorer tes compétences au baby-foot,en jeux vidéo, ou nous faire découvrir tes talents cachés, n’attends plus, contactes nous.

À KAP IT, nous offrons un environnement de travail épanouissant et alternatif, construit sur l’humain, la collaboration et la passion.

Poste à pourvoir immédiatement dans les bureaux de KAP IT Tunis, les berges du Lac.",,,,1,18245,1,18,6,1,2019-01-25T14:19:43.000Z,2019-06-03T00:00:00.000Z,Doté(e) d’une formation d'ingénieur en Informatique Bac+5 ;,"Javascript/HTML : Lu, écrit et parlé ;",La connaissance d'un framework MVC (AngularJS idéalement) est fortement appréciée ,"La connaissance d’une technologie backend, idéalement Java, est un plus ",Bonne connaissance des design patterns ,Vous accordez une grande importance sur la qualité de votre code et de vos livrables ,"Vous aimez travailler en équipe, dans un contexte agile et challenging","Passionné(e) par l’édition logiciel avec fort intérêt pour le Web, les nouvelles ",Technologies et les IHM ,pushed,Public,true,true,2019-01-25T14:19:43.324Z,2019-04-04T09:40:42.132Z,,,true,3088,3088,,,1,,true,,18245,KAP IT Tunisia,https://img.jobi.tn/103ed93e-c181-c022-a9ee-4c0edfb333c2/version/resize/300x300/,Kap IT Tunisia Rue Ghar el Melh Tunis Tunisia,518cf45a-dc56-4d70-be49-aec07782f6bf,kap-it-tunisia,6,CDI,1,Tunis,Tunisia,true,4,javascript,java,front-end,angular,3,,,,,,
225266,0eda32ff-2ffe-4402-939a-370fe0271392,controleur-de-gestion-reporting-analyst--at--oddo-bhf-tunis,16406,Contrôleur de Gestion Reporting Analyst,10,,"ODDO BHF Tunis est une entreprise de services financiers en pleine croissance créée en 2008 afin d’accompagner le développement du Groupe Oddo BHF. 
Avec plus de 180 de collaborateurs, elle exerce aujourd’hui ses activités dans deux domaines principaux : l’analyse financière, et l’informatique. 
L’équipe de recherche actions contribue à la couverture de plus de 400 sociétés européennes cotées et au succès du bureau d’études Oddo Securities, qui bénéficie d’une forte notoriété internationale. 
L’équipe informatique assure le développement de tous les sites web et apporte son expertise aux projets informatiques majeurs du Groupe. 
Innovant sur le marché tunisien, ODDO BHF Tunis se développe rapidement et ambitionne de doubler ses effectifs d’ici 2020 dans le cadre du développement du Groupe en Allemagne.

Mission :
Au sein de la Direction Financière, l’équipe Controlling est composée de 6 collaborateurs dont 1 pôle de 2 personnes basé à Tunis et 1 responsable. En charge des missions traditionnelles du Contrôle de gestion, elle se place en Partner des business, des filiales et des fonctions supports du Groupe dont elle consolide l’ensemble des périmètres. Vos missions consisteront notamment à :

Au sein de ODDO BHF Tunis, vous rejoindrez le pôle Controlling composé de 6 collaborateurs réparties entre Paris et Tunis.

Dans ce contexte, vous aurez pour missions principales :

•	Participer à la production mensuelle des résultats du Groupe par métier.
•	Jouer un rôle de MOA sur les différents projets BI confiés à l’équipe Controlling ou initiés par elle (expression de besoins, travaux de recette, maintenance des reportings, etc.). 
•	Concevoir et mettre en œuvre de nouveaux reportings et outils d’aide au pilotage (revenus des activités, coûts, KPI’s, etc.).
•	Administration des outils partagés de l’équipe Controlling (gestion des accès, sécurité, interface avec les équipes DSI, etc.).
•	Contribuer au maintien d’une documentation à jour sur les process, les outils, les principaux référentiels utilisés pour les travaux récurrents de l’équipe 
Profil :
•	Bac +5 en informatique appliqué à la gestion
•	Junior et jusqu’à 3 ans d’expérience.
•	Compétences en gestion de projet.
•	Excellent niveau d’Anglais, la pratique de l’allemand constituerait un plus important.
•	Bonne communication écrite et orale.
•	Forte appétence pour la finance et les technologies de traitement de l’information. 
•	Autonomie et organisation.
•	Force de travail, engagement et excellent esprit d’équipe.
•	Fiabilité et rigueur (y compris gestion de la confidentialité), mais également curiosité, réflexion, initiative et force de proposition.",,,,1,21746,1,13,6,1,2019-02-25T14:04:50.000Z,2019-04-25T00:00:00.000Z,,,,,,,,,,pushed,Public,true,true,2019-02-25T14:04:50.072Z,2019-02-26T09:00:04.327Z,,,true,16406,16406,,,1,,true,,21746,ODDO BHF Tunis,https://img.jobi.tn/435cdcf0-7a45-8056-4a2f-a23b6b070592/version/crop/191x191/0-0/,Cité les Pins- Immeuble Sandra Towers- Lac II,3b634079-1b79-48d6-bbdc-0dc7b567226e,oddo-bhf-tunis,6,CDI,1,Tunis,Tunisia,true,3,controle,reporting,gestion,analyst,3,,,,,,
225150,b17c6c15-de49-46ea-8609-aa02d0eb91de,ied-java-jee--php-symfony--net--ios--android--ionic---france--at--mobelite-225150,21353,"IED Java JEE, PHP/Symfony, .NET, IOS, Android, IONIC - France",67,,"Bonjour :)

Je suis à la recherche de plusieurs profils:

- .NET/Angular

- IONIC/Angular2 et + -

- PHP/Symfony

-Java/AngularJS/ 2/ et +

- React native

Nombre d'année d'expérience: 3 ans et +

Type de contrat: CDI 

Lieu: France

Je vous prie de m'envoyer vos CVs .
Je reste à votre disposition pour tout complément d'informations.

Bien Cordialement,",,,,1,22089,4232,,6,,2019-02-18T10:45:39.000Z,2019-04-18T00:00:00.000Z,,,,,,,,,,pushed,Public,true,true,2019-02-18T10:45:39.340Z,2019-02-18T12:34:11.690Z,,,true,28622,21353,,,1,,true,,22089,Mobelite,https://img.jobi.tn/82156be7-f0ff-309e-f2fd-d8c23e215391,"Bur 6.4, Imm Errachid, Av. Combattant Suprême",e5a1013e-1b72-4e16-91ec-3729e1862dd8,mobelite-22089,6,CDI,4232,Paris,France,true,3,ionic,angular4,ios,php,3,android,java,,,,
225394,6dd6904b-2762-48f3-9947-97434596206d,senior-reactjs-developer--at--weavelines-225394,14035,Senior ReactJS Developer,10,,"Company:

WeaveLines is a digital lab building innovative software for U.S. startups and established businesses. We help our customers design, architect, develop and launch top digital platforms and software products.

Project abstract:

We are looking for an independent, self-reliant and fast learner React.JS Developer to join our team full-time and help in building cutting-edge digital products for our customers.  The position requires a full proficiency in React.JS and a strong experience with Electron and Laravel.

Project description:

•	Implement front-end in ReactJS
•	Package the front-end in an Electron desktop application.
•	Design and implement test scenarios (acceptance, security testing, etc.)
•	Develop product documentation (User and Developer manuals)",,,,1,21639,1,12,11,2,2019-03-04T17:03:04.000Z,2019-06-03T00:00:00.000Z,Must have ReactJS development experience.,Must have experience with consuming REST APIs.,"Should be independent, self-reliant and a fast learner.",Should be comfortable and willing to work flexible hours.,Must be fluent in English (written and verbal).,Scrum and Agile methodology experience is a plus.,,,,pushed,Public,true,true,2019-03-04T17:03:04.646Z,2019-04-04T09:40:53.111Z,,,true,14035,14035,,,1,,true,,21639,WeaveLines,https://img.jobi.tn/fd12a64c-3c71-34fd-6bae-be29b2dc2d6d/version/resize/300x300/,Soukra,be6bd75a-2f12-4b09-9863-23db1dd97f06,weavelines,11,CDD,1,Tunis,Tunisia,true,3,electron,redux,reactjs,,2,,,,,,
224244,37ce3e65-0160-4663-9c2d-a83c8771cd20,developpeur-php-symfony--at--proxym-group-224244,1017,Développeur PHP/Symfony,58,,"PROXYM Group,  leader dans le secteur IT notamment les solutions convergentes autour du Web, Mobile et Systèmes d’information. Fort par ses valeurs qui sont construites autour de l'indépendance, le goût du challenge, l'exigence, l’esprit d'équipe, la transparence et le sens de l'éthique.
Recrute dans le cadre du développement de ses activités :
Développeur  PHP/Symfony
Entité : PROXYM-IT
Lieu de travail : Sousse 
Missions :
Vous aurez pour mission : 
•	Analyser, développer les composants en utilisant les langages appropriés 
•	Participer à la structuration des bases de données.
•	Assurer le Reporting
•	Réaliser les différents tests liés au développement
•	Rédiger la documentation technique 
•	Assurer la veille technologique
 
Qualifications requises
•	Ingénieur en Informatique
•	Maitrise du langage PHP 
•	Fortes connaissances du framework Symfony 2/3 .
•	Fortes connaissances de HTML, CSS, JS/jQuery.
•	Connaissance du framework Angular JS est un plus.
•	Outils de développement collaboratif (SVN, Git,…),
•	Configuration des serveurs Web Apache en environnement Linux.
•	Avoir un bon niveau en anglais technique. 
•	Avoir au minimum 2 ans d’expérience 

Caractéristiques recherchées
•	Esprit d’analyse développé
•	Autonomie
•	Esprit d’initiative",,1250,,1,16410,12,18,6,2,2018-12-21T13:38:15.000Z,2019-04-21T00:00:00.000Z,,,,,,,,,,pushed,Public,true,true,2018-12-21T13:38:15.046Z,2019-02-22T08:50:32.662Z,,,true,1017,1017,,,1,,true,,16410,PROXYM-GROUP,https://img.jobi.tn/f7a2098f-38bd-b0e1-f44b-cdacd3db7e80/version/resize/300x300/,Technopole de Sousse BP 184,a4d9d200-2f15-11e6-92c2-acd1b8c7e353,proxym-group,6,CDI,12,Sousse,Tunisia,true,4,symfony3,developpement,développement,reporting,3,web,symfony,git,php,html,css
225905,74952a7b-2b2a-4d56-a446-01e163030160,responsable-marketing-digitale--at--com-and-dev,2406,Responsable marketing digitale,58,,"Com & dev (SSII offshore située a Sahloul Sousse) est à la recherche d'un Responsable marketing digitale doué . (pour un de ses clients)

Profil du (de la) candidat (e) :
Niveau bac+4/5 ou expérience professionnelle équivalente en Marketing avec une bonne connaissance du webmarketing et de la culture du Marketing digital.

Excellent niveau de français à l'écrit.

Très bon niveau logiciel : Excel niveau avancé, Suite adobe, notions de montage vidéo, logiciels de motion design, serait un plus.

Une bonne base en SEO / SEA, réseaux sociaux, e-mailing...

Maîtrise des fonctionnalités de Google Analytics, Semrush... et des outils de référencement de Google (trends...).

Connaissance des CMS tels que Wordpress, Prestashop, Joomla...

 
Vos missions :

Analyse de données client, SEO, 

Bonne maîtrise d'Excel qui peut être utile lors de traitement de certaines bases de données clients, (tableaux croisés dynamiques /  recherche v) ...etc ou lors du reporting et analyse mensuelle des résultats SEO.

 

Rédaction de contenu web + newsletters
Animation et rédaction d'articles.

Animation et rédaction de contenu pour sites internet et pages de réseaux sociaux.

Rédaction et envoi de newsletters.


Montage vidéo + notions de motion design.
Montage et diffusion de vidéos (tutoriels de formation + publicité) – FinalCut / imovie...
Création de vidéos motion design de promotion de l'entreprise et/ou de ses produits. 

 
SEO :

Audit SEO de l'actuel, et proposition d'optimisation par benchmark du référencement naturel de la concurrence et optimisation technique et sémantique des contenus des sites internet de l'entreprise.

Reporting mensuel des positions de l'entreprise sur Google et proposition de pistes d'amélioration.

 
CMS Wordpress :

Connaissance des logiciels de gestion de contenu, comme Wordpress / Joomla / Prestashop...

Maîtrise de Wordpress, un must.

 
Infographie
La maîtrise de la suite Adobe serait un plus : Photoshop / Illustrator / Indesign / Aftereffect",,,,1,20291,12,13,6,2,2019-04-10T21:46:31.000Z,2019-05-10T00:00:00.000Z,voir description,,,,,,,,,pushed,Public,true,true,2019-04-10T21:46:31.848Z,2019-04-11T09:04:10.828Z,,"Salaire négociable
Chèques Resto
Primes - Challenges
Contrat CDI
Animations
...",true,2406,2406,,,1,,true,,20291,Com and Dev,https://img.jobi.tn/c31e33ae-b7b0-4e8c-2bef-5baf2b9832d6/version/crop/1278x1278/84-19//resize/300x300/,29 rue du belvédère,43ed3a4a-24ce-4222-a6c9-1e4030bba3e8,com-and-dev,6,CDI,12,Sousse,Tunisia,true,2,digital,webmarketing,marketing,,2,,,,,,
225715,14d9f59e-179a-4a55-a31c-d351e36b01e7,junior-net-developer--at--equipe-technique-tunisienne-225715,12864,Junior .Net Developer,10,,"We are looking for a junior .Net developer.

Profile:
    1) Software engineer degree or equivalent
    2) Strong analytic skills.
    3) Curiosity/passion for learning and applying new technologies.
    4) Innovative, creative approach to providing pragmatic, simple solutions.
    5) Minimum of 1 year experience on .NET development in production environments.

Responsibilities:
    1) Work within a small development team to build and maintain business applications and tools.
    2) Apply Agile development methodologies.
    3) Develop, configure and maintain modules of DNN.
    4) Configure and maintain other applications deployed on servers.
    5) Develop and maintain SQL Server stored procedures",,1000,,1,21599,1,12,13,1,2019-03-27T15:25:33.000Z,2019-04-29T00:00:00.000Z,A minimum of half year experience with .NET technology.,"Strong programming skills in .Net required: ASP Web Forms, MVC, VB.NET...",Good knowledge of Transact-SQL.,Fluent in English.,,,,,,pushed,Public,true,true,2019-03-27T15:25:33.244Z,2019-04-01T08:16:26.845Z,,"-Monthly restaurant coupons
-Annually performance bonus",true,12864,12864,,,1,,true,,21599,Equipe Technique Tunisienne,https://img.jobi.tn/baefd71c-b4e6-f8da-a2e0-3f0e74cdd82c,"Immeuble Narimène, Bloc B, Montplasir",36a12a97-abfa-45ea-a8d6-2b15e71966a7,equipe-technique-tunisienne,13,Full-time,1,Tunis,Tunisia,true,4,web-forms,dnn,transact-sql,asp.net,3,mvc,.net,,,,
225924,213c812b-9523-418e-9c41-fc9388b5f76b,ingenieurs-devops--at--new-access-tunisie-sarl,12983,Ingénieurs devops,10,,"1.1.1 Job Description

 

As part of our growth in Tunis, we are looking to hire a DevOps Operator, who is passionate by UNIX and Oracle Administration and would like to have a career in an international company, in the Private Banking sector, within an exciting work environment.

You will be part of the Technical Team that spans in Geneva and Tunis which provide support across all Development Teams. You will integrate a critical role.

1.1.2 Responsibilities

•Providing daily server support during various operations such as deployment and general production delivery
•Collaborating with developers to make sure new environments meet requirements and conform to best practices
•Automating deployment of Unix applications, system configurations and security settings
•Managing and monitoring for Day-to-day operations service workloads
•Package software builds from the developers into one or multiple environment
•Continuous integration and delivery support
•Creating and maintains release workflow and tools
•Production support


1.1.3 Required Skills

•Proven work experience as DevOps Operator
•Strong experience in managing Unix based System infrastructure
•Nice to have an experience in managing Oracle based Database infrastructure 
•Good hands-on experience at least in one scripting language
•Critical thinker and problem-solving skills
•Good time-management skills
•Good command of the English language both written and oral
•Experience in working in an Agile development environment",,,,1,21603,1,13,6,2,2019-04-11T17:32:26.000Z,2019-06-11T00:00:00.000Z,,,,,,,,,,pushed,Public,true,true,2019-04-11T17:32:26.918Z,2019-04-11T21:23:09.087Z,,,true,12983,12983,,,1,,true,,21603,New Access Tunisie SARL,https://img.jobi.tn/e8161d5c-97cf-6ac8-753d-aeb01cb32745,Lot 114 ZI Chotrana II,00addd89-fd25-4692-80b3-79d75cde20c8,new-access-tunisie-sarl,6,CDI,1,Tunis,Tunisia,true,5,unix,anglais,expérience,,3,,,,,,
225860,73fc1f4c-12f7-426c-a6f6-f1c1f06e238f,odoo-python-developer--at--intime-solutions-machinestalk-company-225860,15749,Odoo & Python Developer,10,,"Who we are :

We are a people centered company with the main goal to provide the perfect environment for talents to thrive within multidisciplinary teams (Java/JEE, Mobile, QA, DevOps, UX/Design) and agile processes (Scrum/Kanban). Always on the innovation frontier, we work on cutting-edge technologies and state-of-the-art architecture ranging from Java/JEE Fullstack development (JHipster, Spring Microservices, Angular) to the latest DevOps and test automations tools and technologies.

You will :

-Be part of a growing team of talented people responsible for developing products in the IoT domain based on cutting-edge technologies (Big Data, Microservices, Spring, Angular, ...).

- Work in an agile environment with skilled developers, DevOps and QA engineers and architects on developing world class products.


You are : 
-Passionate about technology and you enjoy working in a collaborative team where things move fast, and you can contribute your best work.
-You enjoy collaborating with others and have stellar project management abilities.

For you Python is not a snake, coding is what you do for a living, and you know that Odoo is a terrific open Source ERP System?     Apply now !",,,,1,21723,1,12,6,1,2019-04-08T10:27:24.000Z,2019-05-08T00:00:00.000Z,Proven experience of Odoo ERP & a strong Understanding of Odoo Framework / Technology Stack, Proven experience in Python development.,"  Strong communication skills, capable of describing complex technical issues",,,,,,,pushed,Public,true,true,2019-04-08T10:27:24.045Z,2019-04-08T11:03:30.458Z,,"We love it when it feels like home. We start the day right with fresh breakfast, we play table ping pong, we create clubs and enjoy doing activities, and together we win football tournaments and go to the gym.",true,29715,15749,,,1,,true,,21723,INTIME Solutions MachinesTalk Company,https://img.jobi.tn/ec85c3f3-13f8-538e-de48-f343afc1c02a/version/crop/391x391/3-0//resize/300x300/,Menzah 1 -  6 Rue Taimour,0c7e6d7a-e0f6-4550-8107-25b771802477,intime-solutions-machinestalk-company-21723,6,CDI,1,Tunis,Tunisia,true,5,odoo,microservices,css3,python,1,html5,javascript,,,,
225860,73fc1f4c-12f7-426c-a6f6-f1c1f06e238f,odoo-python-developer--at--intime-solutions-machinestalk-company-225860,15749,Odoo & Python Developer,10,,"Who we are :

We are a people centered company with the main goal to provide the perfect environment for talents to thrive within multidisciplinary teams (Java/JEE, Mobile, QA, DevOps, UX/Design) and agile processes (Scrum/Kanban). Always on the innovation frontier, we work on cutting-edge technologies and state-of-the-art architecture ranging from Java/JEE Fullstack development (JHipster, Spring Microservices, Angular) to the latest DevOps and test automations tools and technologies.

You will :

-Be part of a growing team of talented people responsible for developing products in the IoT domain based on cutting-edge technologies (Big Data, Microservices, Spring, Angular, ...).

- Work in an agile environment with skilled developers, DevOps and QA engineers and architects on developing world class products.


You are : 
-Passionate about technology and you enjoy working in a collaborative team where things move fast, and you can contribute your best work.
-You enjoy collaborating with others and have stellar project management abilities.

For you Python is not a snake, coding is what you do for a living, and you know that Odoo is a terrific open Source ERP System?     Apply now !",,,,1,21723,1,12,6,1,2019-04-08T10:27:24.000Z,2019-05-08T00:00:00.000Z,Proven experience of Odoo ERP & a strong Understanding of Odoo Framework / Technology Stack, Proven experience in Python development.,"  Strong communication skills, capable of describing complex technical issues",,,,,,,pushed,Public,true,true,2019-04-08T10:27:24.045Z,2019-04-08T11:03:30.458Z,,"We love it when it feels like home. We start the day right with fresh breakfast, we play table ping pong, we create clubs and enjoy doing activities, and together we win football tournaments and go to the gym.",true,29715,15749,,,1,,true,,21723,INTIME Solutions MachinesTalk Company,https://img.jobi.tn/ec85c3f3-13f8-538e-de48-f343afc1c02a/version/crop/391x391/3-0//resize/300x300/,Menzah 1 -  6 Rue Taimour,0c7e6d7a-e0f6-4550-8107-25b771802477,intime-solutions-machinestalk-company-21723,6,CDI,1,Tunis,Tunisia,true,5,odoo,microservices,css3,python,4,html5,javascript,,,,
